"AISHE Code","university Name","State","District","Address","Website","Area","Year of Establishment","Location","Type","Speciality","Girl Exclusive","Number of Faculties","Number of Affiliated Colleges","Number of Constituent Colleges","Number of University Centers","Number of pg and off Campus Centers","Number of Regional Centers","Number of Departments","Number of Study Centers","Total Male  Teachers"," Total Female Teachers","Total Teachers","No of Boys in Regular Course","No of Girls in Regular Course","No of Boys in Distance Course","No of Girls in Distance Course","No of Foreign Boys","No of Foreign Girls","No of Teaching Staff Quater","No of Non Teaching Staff Quater","Total Staff Quater","No of Boys Hostel","Boys Hostel Intake Capacity","No of Boys Students Residing in Hostel","No of Girls Hostel","Girls Hostel Intake Capacity","No of Girls Students Residing in Hostel","No of Other Hostel","Other Hostel Intake Capacity","No of Other Students Residing in Hostel"
"U-0434","Academy of Maritime Education and ","Tamil Nadu","Kanchipuram","135, East Coast Road, Kanathur, ","www.ametuniv.ac.in","10.22","1993.0","Rural","Deemed University-Private ","Maritime Education","No","6.0","0.0","0.0","0.0","0.0","0.0","28.0","0.0","285.0","80.0","365.0","3180.0","149.0","0.0","0.0","12.0","0.0","6.0","33.0","39.0","7.0","2454.0","2350.0","2.0","54.0","50.0","0.0","0.0","0.0"
"U-0435","Alagappa University, Alagappa ","Tamil Nadu","Sivaganga","Alagappapuram, Alagappa Nagar, ","www.alagappauniversity.","420.0","1985.0","Urban","State Public University ","No","No","5.0","49.0","1.0","0.0","0.0","1.0","46.0","1.0","300.0","103.0","403.0","1270.0","2760.0","22039.0","26980.0","2.0","2.0","19.0","29.0","48.0","2.0","680.0","631.0","3.0","880.0","809.0","0.0","0.0","0.0"
"U-0436","Amrita Vishwa Vidyapeetham, Coimbatore","Tamil Nadu","Coimbatore","Amrita Nagar Post, Ettimadai, ","www.amrita.edu","947.0","1994.0","Rural","Deemed University-Private ","No","No","7.0","0.0","4.0","0.0","16.0","0.0","169.0","0.0","2017.0","1741.0","3758.0","11534.0","9772.0","0.0","0.0","23.0","33.0","143.0","70.0","213.0","27.0","9911.0","7891.0","16.0","6991.0","5963.0","0.0","0.0","0.0"
"U-0439","Anna University, Chennai","Tamil Nadu","Chennai","Sardar Patel Road, Chennai","www.annauniv.edu","311.95","1978.0","Urban","State Public University ","Technical","No","0.0","554.0","20.0","0.0","0.0","4.0","0.0","4.0","1.0","3.0","4.0","92.0","94.0","1485.0","1119.0","0.0","0.0","100.0","160.0","260.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0443","Annamalai University, Annamalainag","Tamil Nadu","Cuddalore","Annamalai University, Annamalainag","www.annamalaiuniversity.","394.67","1928.0","Urban","State Public University ","No","No","11.0","0.0","0.0","0.0","0.0","0.0","58.0","0.0","2321.0","704.0","3025.0","12091.0","9966.0","73078.0","72424.0","339.0","737.0","292.0","213.0","505.0","13.0","6049.0","3496.0","6.0","5612.0","4855.0","0.0","0.0","0.0"
"U-0444","Avinashilingam Institute for Home Science ","Tamil Nadu","Coimbatore","Bharathi Park Road, Coimbatore","www.avinuty.ac.in","108.11","1957.0","Urban","Deemed University-Governme","Home Science","Yes","7.0","0.0","0.0","0.0","0.0","0.0","36.0","0.0","0.0","915.0","915.0","0.0","8108.0","0.0","0.0","0.0","8.0","2.0","7.0","9.0","0.0","0.0","0.0","2.0","2750.0","2405.0","0.0","0.0","0.0"
"U-0445","B.S. Abdur Rahman Crescent ","Tamil Nadu","Kanchipuram","Seethakathi Estate, Vandalur, ","www.bsauniv.ac.in","50.19","1984.0","Urban","Deemed University-Private ","Technical","No","12.0","0.0","0.0","0.0","0.0","0.0","22.0","0.0","464.0","381.0","845.0","4918.0","1744.0","0.0","0.0","2.0","0.0","68.0","13.0","81.0","6.0","1791.0","1445.0","3.0","500.0","402.0","0.0","0.0","0.0"
"U-0446","Bharath Institute of Higher ","Tamil Nadu","Kanchipuram","173, AGARAM ROAD, SELAIYUR, ","www.bharathuniv.ac.in","304.0","1984.0","Rural","Deemed University-Private ","No","No","10.0","0.0","0.0","0.0","0.0","0.0","112.0","0.0","1754.0","1692.0","3446.0","7380.0","8209.0","0.0","0.0","26.0","1.0","6.0","6.0","12.0","10.0","2808.0","2779.0","9.0","2970.0","2890.0","0.0","0.0","0.0"
"U-0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","Marudhamalai Road, 641 046, ","http://www.b-u.ac.in","976.81","1981.0","Urban","State Public University ","No","No","13.0","120.0","5.0","0.0","0.0","1.0","39.0","0.0","253.0","149.0","402.0","1142.0","1906.0","30295.0","23684.0","1.0","2.0","43.0","20.0","63.0","5.0","1064.0","827.0","5.0","1089.0","1306.0","1.0","135.0","0.0"
"U-0448","Bharathidasan University, Tiruchirappalli","Tamil Nadu","Tiruchirappalli","Palkalaiperur, Tiruchirappalli","www.bdu.ac.in","1038.49","1982.0","Urban","State Public University ","No","No","2.0","125.0","9.0","1.0","0.0","0.0","37.0","0.0","242.0","61.0","303.0","996.0","1282.0","9242.0","16099.0","2.0","1.0","13.0","20.0","33.0","4.0","709.0","567.0","5.0","1106.0","1177.0","0.0","0.0","0.0"
"U-0449","Central University of Tamil Nadu, ","Tamil Nadu","Thiruvarur","Central University of Tamil Nadu,, ","www.cutn.ac.in","514.84","2009.0","Rural","Central University ","No","No","14.0","0.0","0.0","0.0","0.0","0.0","26.0","0.0","316.0","125.0","441.0","1077.0","1402.0","0.0","0.0","4.0","1.0","124.0","32.0","156.0","2.0","684.0","596.0","3.0","764.0","706.0","4.0","313.0","301.0"
"U-0450","Chennai Mathematical  Institue, ","Tamil Nadu","Chennai","H1 SIPCOT IT Park, Siruseri, Kelambakkam","www.cmi.ac.in","5.35","1989.0","Rural","Deemed University-Private ","Research & Teaching","No","1.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","81.0","14.0","95.0","251.0","36.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","217.0","204.0"
"U-0451","Chettinad Academy of Research & ","Tamil Nadu","Kanchipuram","Rajiv Gandhi Salai, Kelambakkam, ","www.chettinadhealthcity.","33.45","2006.0","Rural","Deemed University-Private ","No","No","5.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","18.0","13.0","31.0","41.0","64.0","0.0","0.0","0.0","0.0","52.0","40.0","92.0","5.0","844.0","438.0","5.0","892.0","678.0","0.0","0.0","0.0"
"U-0452","Dakshina Bharat Hindi Prachar Sabha","Tamil Nadu","Chennai","Thanikachalam Road, Thyagraya ","www.dbhpscentral.org","6.0","1918.0","Urban","Institute of National Importanc","Language","No","1.0","0.0","6.0","0.0","0.0","0.0","5.0","0.0","17.0","21.0","38.0","159.0","377.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","1.0","20.0","7.0","0.0","0.0","0.0"
"U-0453","Gandhigram Rural Institute, Dindigul","Tamil Nadu","Dindigul","Gandhigram - 624 302","www.ruraluniv.ac.in","207.0","1956.0","Rural","Deemed University-Governme","Rural Development","No","8.0","0.0","0.0","0.0","0.0","0.0","29.0","0.0","194.0","62.0","256.0","1541.0","1921.0","0.0","0.0","3.0","1.0","19.0","40.0","59.0","1.0","620.0","768.0","1.0","802.0","1067.0","2.0","109.0","91.0"
"U-0454","Hindustan Institute of Technology ","Tamil Nadu","Kanchipuram","Padur, Kelambakkam,, Chennai - ","www.hindustanuniv.ac.in","38.02","1985.0","Rural","Deemed University-Private ","Technical","No","9.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","503.0","296.0","799.0","5450.0","1196.0","0.0","0.0","37.0","22.0","16.0","21.0","37.0","3.0","939.0","666.0","3.0","447.0","244.0","0.0","0.0","0.0"
"U-0455","Indian Institute of Information ","Tamil Nadu","Kanchipuram","Melakkottaiyur, Off Vandalur- Kelambakkam  ","www.iiitdm.ac.in","51.75","2007.0","Urban","Institute of National Importanc","Technical","No","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","86.0","16.0","102.0","1247.0","306.0","0.0","0.0","0.0","0.0","40.0","0.0","40.0","2.0","1294.0","1231.0","1.0","390.0","305.0","0.0","0.0","0.0"
"U-0456","Indian Institute of Technology, ","Tamil Nadu","Chennai","IIT Madras Campus, Chennai","www.iitm.ac.in","611.332","1959.0","Urban","Institute of National Importanc","Technical","No","4.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","1058.0","128.0","1186.0","8048.0","2176.0","0.0","0.0","5.0","2.0","496.0","424.0","920.0","15.0","6958.0","6336.0","4.0","1963.0","1857.0","0.0","0.0","0.0"
"U-0457","Indian Maritime University","Tamil Nadu","Chennai","East Coast Road, Semmencherr","https://www.imu.edu.in","300.0","2008.0","Urban","Central University ","Marine","No","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
